"species","longitude","latitude","BIO1AnnMeanTemp","BIO2MeanDiurnalRange","BIO3Isotherm","BIO4TSeas","BIO5TWarmestMonth","BIO6MinTColdestMonth","BIO7TAnnRange","BIO8MeanTWettestQ","BIO9MeanTDriestQ","BIO10MeanTWarmestQ","BIO11MeanTColdestQ","BIO12AnnPrec","BIO13PrecWettestMonth","BIO14PrecDriestMonth","BIO15PrecSeas.COV","BIO16PrecWettestQ","BIO17PrecDriestQ","BIO18PrecWarmestQ","BIO19PrecColdestQ","EVMannPET","EVMthornthwaiteAI","EVMclimaticMI","EVMcontinentality","EVMembergerQ","EVMgrowingDegDays0","EVMgrowingDegDays5","EVMmaxTempColdest","EVMminTempWarmest","EVMmonthCountByT10","EVMPETColdestQ","EVMPETDriestQ","EVMPETseas","EVMPETWarmestQ","EVMPETWettestQ","EVMthermicityIndex","TotalCult","IrrCult","Rain.fedCult","Forested","Grass.Woodland","Barren","Urban","Water","roughness","slope","cos.asp.rad","vrm"
"Zeamays","-108.04426472164","30.1610337666704","15.8371524810791","18.7631454467773","52.0439147949219","644.210327148438","33.4668922424316","-2.58571362495422","36.052604675293","22.7890548706055","15.340160369873","23.6723880767822","7.86625862121582","336.832641601562","84.811767578125","6","95.9044036865234","210.656661987305","19.1759910583496","187.656661987305","49","2397828.5","99.985954284668","-0.999859511852264","17.2785701751709","340.056610107422","68416.5","68416.5","164.142868041992","149.188232421875","9","100303.4375","230440.53125","8320766","295482.1875","262208.09375","177.394287109375","4","4","0","14.4352970123291","81.5647048950195","0","0","0","51.4077072143555","1.35850489139557","0.0765238925814629","0.0389865562319756"
"Zeamays","-107.604888657181","30.1264765467868","16.8184375762939","19.3807697296143","52.5017623901367","653.445861816406","35.0058670043945","-1.90866374969482","36.9145317077637","23.7593746185303","16.6039485931396","24.7603530883789","8.73044490814209","303.645721435547","80.3228607177734","4","102.920402526855","201.645721435547","16","172.645721435547","35","2486778","99.9877853393555","-0.999877870082855","17.5881900787354","299.272827148438","72655.6484375","72655.6484375","173","155.618469238281","9","104253.3515625","240073.515625","8579413","304680.625","270607.40625","187.909759521484","4.38152360916138","4.38152360916138","0","5.02797174453735","90.5905075073242","0","0","0","14.6569929122925","0.394341140985489","0.31245282292366","0.0271630436182022"
"Zeamays","-109.093686293461","30.0551307868237","16.379768371582","17.1302433013916","50.9855880737305","598.919189453125","32.9634323120117","-0.634695410728455","33.5981292724609","22.88307762146","15.5192718505859","23.6588268280029","9.05471897125244","723.951599121094","159.653045654297","7","76.9819107055664","365.1904296875","53.7984962463379","334.220245361328","178.451538085938","2300362.75","99.9685287475586","-0.999685287475586","15.6346950531006","784.164611816406","70760.59375","70760.59375","174.287353515625","159.343505859375","9","99971.2578125","223989.9375","7754966","277204.8125","242587.953125","190.032424926758","1","0","1","63.4889488220215","34.8545532226562","0","0","0","173.446273803711","1.83678936958313","-0.556049406528473","0.725632190704346"
"Zeamays","-109.308361717728","29.9241472901437","22.1112384796143","19.7995414733887","53.2537841796875","663.361083984375","40.3193359375","3.13976311683655","37.179573059082","29.2644634246826","21.5061874389648","30.0144634246826","13.9147138595581","430.227020263672","123.105773925781","5","99.8012924194336","263.806640625","22.9056034088135","239.109878540039","84.806640625","2856642","99.9849395751953","-0.999849379062653","17.2799129486084","420.221954345703","95520.5546875","95520.5546875","230.894226074219","205.696762084961","12","124658.8671875","274278.96875","9368442","341247.53125","304861.09375","256.145233154297","4.29913330078125","4.29913330078125","0","76.7008666992188","19","0","0","0","37.2047348022461","1.00945842266083","-0.133918061852455","0.0360614061355591"
"Zeamays","-107.513000301269","29.9184889717562","16.5366554260254","18.8477935791016","53.233341217041","622.908264160156","34.0060043334961","-1.39999997615814","35.4060020446777","23.0329284667969","16.3953113555908","24.1152610778809","8.83333301544189","328.827209472656","87.281364440918","3","102.040466308594","217.605880737305","18.9399642944336","186.605880737305","38.2813682556152","2420125","99.9864120483398","-0.999864101409912","16.6030025482178","337.929779052734","71438.3515625","71438.3515625","173","152","9","102864.609375","232754.75","8246697","296058.09375","262978.53125","188.136657714844","9.73552513122559","9.73552513122559","0","22.8218116760254","67.1781845092773","0","0","0","9.01689147949219","0.199744611978531","0.865990042686462","0.0195222962647676"
"Zeamays","-110.22353841536","29.8145794497731","21.4403533935547","19.9249000549316","54.5167808532715","639.986572265625","39.7156105041504","3.16753911972046","36.5480728149414","28.6623020172119","20.4251155853271","29.2151107788086","13.7168960571289","488.026184082031","148.675384521484","3","109.057876586914","321.182281494141","20.6753921508789","283.350769042969","82","2814548.75","99.9826583862305","-0.999826610088348","16.6415748596191","484.965026855469","92622.3203125","92622.3203125","231.324615478516","198.675384521484","12","124988.7421875","264174.25","9092432","338420.21875","305402.84375","255.932510375977","9.67539215087891","9.67539215087891","0","69.5740966796875","20.9941310882568","0","0","0","46.0819396972656","1.14449715614319","-0.598069548606873","0.35511901974678"
"Zeamays","-108.693246956842","29.8549565052618","13.293402671814","16.7847499847412","51.5051307678223","592.261352539062","29.2261390686035","-3.36243009567261","32.5885696411133","19.8352851867676","15.9626502990723","20.534086227417","6.04988670349121","844.517517089844","170.376022338867","8","72.0037231445312","402.562561035156","62","365.686706542969","225.516845703125","2072182.375","99.9592437744141","-0.999592423439026","15.7022876739502","944.096130371094","57427.5","57427.5","140.303833007812","129.398574829102","7","88797.0234375","239845.609375","7061880.5","252557.03125","222761.078125","150.234817504883","0","0","0","80","20","0","0","0","224.312866210938","4.49273586273193","0.214643731713295","0.642650246620178"
"Zeamays","-108.387079652764","29.8613693021578","11.1952228546143","18.8048915863037","54.8317260742188","583.948974609375","27.8956394195557","-6.40000009536743","34.2956390380859","17.7274379730225","10.2616119384766","18.2948303222656","4.03260660171509","508.187316894531","127.135726928711","9","87.2532348632812","297.579650878906","29","266.579650878906","82.299446105957","2030014.125","99.974967956543","-0.999749660491943","15.4910335540771","540.255310058594","48363.36328125","33006.11328125","130.135726928711","97","7","86596.59375","195456.125","6866450","246444.953125","218360.53125","134.930953979492","1.17932319641113","0","1.17932319641113","74.9931564331055","23.0068473815918","0","0","0","93.7545318603516","1.45267903804779","0.067808672785759","0.172859847545624"
"Zeamays","-107.774657686863","29.8725313909748","13.1924734115601","21.0870323181152","55.9337692260742","620.239074707031","31.7000007629395","-6","37.7000007629395","19.7754058837891","9.32810115814209","20.7087383270264","5.49504613876343","380.161712646484","97","6","97.5966720581055","246.796279907227","23","208.796279907227","42.3654289245605","2300060","99.9834671020508","-0.999834716320038","16.441915512085","367.373992919922","56991.484375","50694.55859375","153.796279907227","107.203720092773","7","96582.6328125","170720.65625","7917191.5","281393","248975.5625","160.988754272461","0","0","0","33.9485244750977","65.6860427856445","0","0","0","22.2831630706787","0.220690727233887","-0.144602969288826","0.448669344186783"
"Zeamays","-110.22179295937","29.7727551496362","21.2887001037598","19.9413528442383","54.5281219482422","640.978881835938","39.5911674499512","3.02040243148804","36.5707626342773","28.4975109100342","20.3147659301758","29.0770015716553","13.525842666626","503.096466064453","151.973175048828","3","108.523803710938","330.715789794922","21.1151542663574","290.946350097656","85.0617828369141","2805229.5","99.9820709228516","-0.999820649623871","16.6353816986084","499.656585693359","91967.1875","91967.1875","229.115417480469","196.115417480469","12","124094.796875","262530.53125","9089323","338313.5625","305840.84375","253.424514770508","8.11542129516602","8.11542129516602","0","68.858024597168","23.0265522003174","0","0","0","99.9829711914062","2.82455372810364","0.347389966249466","0.0480845011770725"
